Year,club_name,overall,value_eur,age
2015,Fulham,76,2100000.0,33
2015,Liverpool,76,4300000.0,32
2015,West Bromwich Albion,76,3400000.0,31
2015,Southampton,76,3600000.0,34
2015,Everton,76,5000000.0,30
2015,Liverpool,76,4200000.0,29
2015,Stoke City,76,4200000.0,29
2015,Southampton,76,4900000.0,29
2015,West Ham United,76,6000000.0,27
2015,Queens Park Rangers,76,4900000.0,29
2015,Everton,76,3000000.0,33
2015,Everton,76,6000000.0,27
2015,Arsenal,76,5000000.0,28
2015,West Ham United,76,5000000.0,28
2015,Sunderland,76,6000000.0,27
2015,Everton,76,6000000.0,26
2015,Stoke City,76,6000000.0,27
2015,Arsenal,76,4600000.0,28
2015,Newcastle United,76,5500000.0,29
2015,West Bromwich Albion,76,4700000.0,27
2015,Aston Villa,76,4300000.0,28
2015,Sunderland,76,5000000.0,23
2015,Queens Park Rangers,76,5500000.0,24
2015,West Bromwich Albion,76,6500000.0,25
2015,Queens Park Rangers,76,6000000.0,26
2015,Cardiff City,76,5000000.0,25
2015,Manchester City,76,4900000.0,24
2015,Queens Park Rangers,76,3800000.0,22
2015,West Ham United,76,5000000.0,27
2015,Tottenham Hotspur,76,4100000.0,23
2015,Everton,76,4500000.0,22
2015,Tottenham Hotspur,76,4900000.0,24
2015,Chelsea,76,4500000.0,22
2015,Sunderland,75,1500000.0,33
2015,Sunderland,75,1000000.0,34
2015,Crystal Palace,75,2100000.0,35
2015,Stoke City,75,2300000.0,33
2015,West Ham United,75,2800000.0,32
2015,Hull City,75,3700000.0,27
2015,Swansea City,75,3200000.0,29
2015,Queens Park Rangers,75,2300000.0,34
2015,Crystal Palace,75,3300000.0,30
2015,Stoke City,75,2100000.0,31
2015,Queens Park Rangers,75,2100000.0,31
2015,Manchester City,75,2900000.0,30
2015,Swansea City,75,2700000.0,31
2015,Cardiff City,75,3600000.0,29
2015,Norwich City,75,2800000.0,32
2015,Norwich City,75,2800000.0,28
2015,Newcastle United,75,2500000.0,30
2015,West Ham United,75,3700000.0,27
2015,Swansea City,75,2300000.0,31
2015,Newcastle United,75,3000000.0,28
2015,Hull City,75,2700000.0,29
2015,Queens Park Rangers,75,3200000.0,27
2015,Swansea City,75,3600000.0,29
2015,Aston Villa,75,3800000.0,28
2015,West Ham United,75,3200000.0,29
2015,Southampton,75,4000000.0,27
2015,Sunderland,75,3300000.0,26
2015,Southampton,75,3200000.0,25
2015,Southampton,75,3700000.0,24
2015,Southampton,75,2500000.0,30
2015,Southampton,75,3600000.0,26
2015,Stoke City,75,3300000.0,23
2015,West Ham United,75,3400000.0,25
2015,Crystal Palace,75,2600000.0,29
2015,Newcastle United,75,3700000.0,24
2015,Aston Villa,75,3700000.0,24
2015,Crystal Palace,75,3700000.0,24
2015,Liverpool,75,3700000.0,23
2015,Newcastle United,75,3200000.0,24
2015,Southampton,75,2700000.0,23
2015,Queens Park Rangers,75,3300000.0,24
2015,Newcastle United,75,2900000.0,23
2015,Southampton,75,2900000.0,23
2015,Sunderland,75,4300000.0,26
2015,Arsenal,75,2900000.0,22
2015,Manchester City,75,2100000.0,18
2015,Manchester City,75,2700000.0,19
2015,Aston Villa,74,2400000.0,32
2015,Aston Villa,74,600000.0,38
2015,Queens Park Rangers,74,1000000.0,34
2015,West Ham United,74,2500000.0,30
2015,Crystal Palace,74,1500000.0,33
2015,Hull City,74,2800000.0,32
2015,Aston Villa,74,3300000.0,30
2015,West Bromwich Albion,74,3200000.0,29
2015,Chelsea,74,1500000.0,33
2015,Watford,74,2600000.0,33
2015,Norwich City,74,2500000.0,30
2015,Everton,74,2300000.0,31
2015,Newcastle United,74,2900000.0,30
2015,Wigan Athletic,74,2800000.0,32
2015,Queens Park Rangers,74,3700000.0,27
