nome,time_abreviado,idade,altura,peso,universidade,país,num_jogos,pontos,rebotes,assistencias,temporada
Jaren Jackson,WAS,29,198.12,95.25432,Georgetown,USA,75,5,1.8,0.9,1996-97
Jason Caffey,CHI,24,203.2,116.119552,Alabama,USA,75,7.3,4,1.2,1996-97
Jason Kidd,PHX,24,193.04,94.347136,California,USA,55,10.9,4.5,9,1996-97
Jason Sasser,DAL,23,200.66,102.0582,Texas Tech,USA,8,2.4,1,0.3,1996-97
Jayson Williams,NJN,29,205.74,108.86208,St. John's (NY),USA,41,13.4,13.5,1.2,1996-97
Jeff Grayer,SAC,31,195.58,95.25432,Iowa State,USA,25,3.6,1.5,1,1996-97
Jeff Hornacek,UTA,34,193.04,86.18248,Iowa State,USA,82,14.5,2.9,4.4,1996-97
Jeff McInnis,DEN,22,193.04,86.18248,North Carolina,USA,13,5,0.5,1.4,1996-97
Jermaine O'Neal,POR,18,210.82,102.511792,None,USA,45,4.1,2.8,0.2,1996-97
Horace Grant,ORL,31,208.28,111.13004,Clemson,USA,67,12.6,9,2.4,1996-97
Hersey Hawkins,SEA,30,190.5,86.18248,Bradley,USA,82,13.9,3.9,3,1996-97
Herb Williams,NYK,39,210.82,117.93392,Ohio State,USA,21,1.9,1.5,0.2,1996-97
Henry James,ATL,31,203.2,99.79024,St. Mary's (TX),USA,53,6.7,1.5,0.4,1996-97
Fred Roberts,DAL,36,208.28,98.883056,Brigham Young,USA,12,1.8,0.8,0,1996-97
Gary Grant,MIA,32,190.5,83.91452,Michigan,USA,28,3.9,1.4,1.6,1996-97
Gary Payton,SEA,28,193.04,86.18248,Oregon State,USA,82,21.8,4.6,7.1,1996-97
Gary Trent,POR,22,203.2,113.398,Ohio,USA,82,10.8,5.2,1.1,1996-97
Gaylon Nickerson,WAS,28,190.5,86.18248,Northwestern Oklahoma,USA,4,3.8,1.3,0.3,1996-97
George Lynch,VAN,26,203.2,103.418976,North Carolina,USA,41,8.3,6.4,1.9,1996-97
George McCloud,LAL,30,203.2,102.0582,Florida State,USA,64,10.2,2.8,1.7,1996-97
George Zidek,DEN,23,213.36,119.748288,UCLA,USA,52,2.8,1.7,0.3,1996-97
Gerald Wilkins,ORL,33,198.12,102.0582,Tennessee-Chattanooga,USA,80,10.6,2.2,2.2,1996-97
Gheorghe Muresan,WAS,26,231.14,137.438376,None,USA,73,10.6,6.6,0.4,1996-97
Glen Rice,CHH,30,203.2,99.79024,Michigan,USA,79,26.8,4,2,1996-97
Frank Brickowski,BOS,37,205.74,108.86208,Penn State,USA,17,4.8,2,0.9,1996-97
Glenn Robinson,MIL,24,200.66,106.59412,Purdue,USA,80,21.1,6.3,3.1,1996-97
Grant Long,DET,31,205.74,112.490816,Eastern Michigan,USA,65,5,3.4,0.6,1996-97
Greg Anderson,SAS,33,208.28,113.398,Houston,USA,82,3.9,5.5,0.4,1996-97
Greg Anthony,VAN,29,185.42,81.64656,Nevada-Las Vegas,USA,65,9.5,2.8,6.3,1996-97
Greg Dreiling,DAL,33,215.9,120.20188,Kansas,USA,40,2,1.9,0.3,1996-97
Greg Foster,UTA,28,210.82,113.398,Texas-El Paso,USA,79,3.5,2.4,0.4,1996-97
Greg Graham,SEA,26,193.04,82.553744,Indiana,USA,28,3.3,0.5,0.4,1996-97
Greg Minor,BOS,25,198.12,95.25432,Louisville,USA,23,9.6,3.5,1.5,1996-97
Greg Ostertag,UTA,24,218.44,127.00576,Kansas,USA,77,7.3,7.3,0.4,1996-97
Hakeem Olajuwon,HOU,34,213.36,115.66596,Houston,Nigeria,78,23.2,9.2,3,1996-97
Harvey Grant,WAS,31,205.74,102.0582,Oklahoma,USA,78,4.1,3.3,0.9,1996-97
Haywoode Workman,IND,31,187.96,81.64656,Oral Roberts,USA,4,5.5,1.8,2.8,1996-97
Grant Hill,DET,24,203.2,102.0582,Duke,USA,80,21.4,9,7.3,1996-97
Dee Brown,BOS,28,187.96,87.089664,Jacksonville,USA,21,7.6,2.3,3.2,1996-97
Dean Garrett,MIN,30,210.82,113.398,Indiana,USA,68,8,7.3,0.6,1996-97
David Wood,MIL,32,205.74,104.32616,Nevada-Reno,USA,46,1.2,0.6,0.3,1996-97
Ashraf Amaya,WAS,25,203.2,104.32616,Southern Illinois,USA,31,1.3,1.7,0.1,1996-97
Avery Johnson,SAS,32,180.34,81.64656,Southern,USA,76,10.5,1.9,6.8,1996-97
B.J. Armstrong,GSW,29,187.96,79.3786,Iowa,USA,49,7.9,1.5,2.6,1996-97
Ben Davis,PHX,24,205.74,108.86208,Arizona,USA,20,1.5,1.4,0,1996-97
Ben Wallace,WAS,22,205.74,108.86208,Virginia Union,USA,34,1.1,1.7,0.1,1996-97
Benoit Benjamin,TOR,32,213.36,113.398,Creighton,USA,4,3.3,2.3,0.3,1996-97
Bill Wennington,CHI,34,213.36,111.13004,St. John's (NY),USA,61,4.6,2.1,0.7,1996-97
Billy Owens,SAC,28,205.74,102.0582,Syracuse,USA,66,11,5.9,2.8,1996-97
Bimbo Coles,GSW,29,187.96,82.553744,Virginia Tech,USA,51,6.1,2.3,2.9,1996-97
Bison Dele,CHI,28,210.82,117.93392,Arizona,USA,9,7,3.7,1.3,1996-97
Blue Edwards,VAN,31,193.04,103.418976,East Carolina,USA,61,7.8,3.1,1.9,1996-97
Bo Outlaw,LAC,26,203.2,95.25432,Houston,USA,82,7.6,5.5,1.9,1996-97
Bob Sura,CLE,24,195.58,90.7184,Florida State,USA,82,9.2,3.8,4.8,1996-97
Bobby Hurley,SAC,26,182.88,74.84268,Duke,USA,49,2.9,0.8,3,1996-97
Bobby Phills,CLE,27,195.58,99.79024,Southern,USA,69,12.6,3.6,3.4,1996-97
Brad Lohaus,TOR,32,210.82,104.32616,Iowa,USA,6,1.7,1.2,0.2,1996-97
Brent Barry,LAC,25,198.12,88.45044,Oregon State,USA,59,7.5,1.9,2.6,1996-97
