,label,distance_type,algorithm,precisao,radius_min,silhouette_mean,silhouette_max,rand_index_mean,rand_index_max,exec_time_mean
103,14: 0.5,euclidean,Busca Binaria 2,20,2.0224480812247267,0.4072652090750545,0.4072652090750545,0.505106244371635,0.505106244371635,1.1248274999998102
104,14: 0.5,euclidean,Busca Binaria 2,3,2.18953534936321,0.3296435849039072,0.3296435849039072,0.4365257340048183,0.4365257340048183,0.14381400000002031
105,14: 0.5,euclidean,Busca Binaria 2,4,2.007074070249609,0.4220088138663048,0.4220088138663048,0.5758049295692289,0.5758049295692289,0.32664599999998245
106,14: 0.5,euclidean,Busca Binaria 2,5,2.09830470980641,0.40701043810513576,0.40701043810513576,0.5096296699841898,0.5096296699841898,0.3989894000001186
107,14: 0.5,euclidean,Busca Binaria 2,6,2.007074070249609,0.41825946083867405,0.41825946083867405,0.5530350341896101,0.5530350341896101,0.45122059999994235
108,14: 0.5,manhattan,Busca Binaria 1,2,3.0964533487545367,0.35521054277656666,0.443434185726998,0.42609563836730324,0.6660370667311596,0.0007226199999725698
109,14: 0.5,manhattan,Busca Binaria 1,20,2.773906124925939,0.3682992632829935,0.4364066465962828,0.44989397419213445,0.6493043669493765,0.004074883333350954
110,14: 0.5,manhattan,Busca Binaria 1,3,3.0964533487545367,0.3630808999468093,0.44656970176182026,0.4308702796389335,0.6776037983566982,0.0009492566666267522
111,14: 0.5,manhattan,Busca Binaria 1,4,2.8384155696916586,0.3760068067852092,0.4458797272903024,0.4800448224122414,0.6742338244365461,0.0010408199999953165
112,14: 0.5,manhattan,Busca Binaria 1,5,2.7093966801602196,0.36980001070930124,0.4467166524770418,0.449308916990157,0.6716591054169537,0.0013643866666219159
113,14: 0.5,manhattan,Busca Binaria 1,6,2.773906124925939,0.38121894535425205,0.44504349230313267,0.47720041442627925,0.6774256162732883,0.001412886666639679
114,14: 0.5,manhattan,Busca Binaria 2,2,3.0964533487545367,0.3276039830796949,0.3276039830796949,0.395766743387904,0.395766743387904,0.0064305000000786094
115,14: 0.5,manhattan,Busca Binaria 2,20,2.55364322459123,0.42135385830942584,0.42135385830942584,0.5442684180451312,0.5442684180451312,0.07610479999993913
116,14: 0.5,manhattan,Busca Binaria 2,3,2.5803777906287806,0.40702490676326925,0.40702490676326925,0.4864919282953256,0.4864919282953256,0.006924799999978859
117,14: 0.5,manhattan,Busca Binaria 2,4,2.8384155696916586,0.38221779664007066,0.38221779664007066,0.3963815146785119,0.3963815146785119,0.02072520000001532
118,14: 0.5,manhattan,Busca Binaria 2,5,2.7093966801602196,0.39971623627979846,0.39971623627979846,0.46473301765747055,0.46473301765747055,0.014687599999888334
119,14: 0.5,manhattan,Busca Binaria 2,6,2.5803777906287806,0.40464431377978366,0.40464431377978366,0.5030341178722886,0.5030341178722886,0.027545899999950052
120,15: 0.5,euclidean,Busca Binaria 1,2,2.1199679638029045,0.3889007937283891,0.49716350874350773,0.372614291957915,0.49217492593425716,0.010997390000011365
121,15: 0.5,euclidean,Busca Binaria 1,20,2.028616805206417,0.430634719564789,0.5012362546351365,0.4093401842447422,0.49992887056196156,0.09262079666668796
122,15: 0.5,euclidean,Busca Binaria 1,3,2.1199679638029045,0.4133740636840074,0.5068548801434449,0.3977798971215748,0.5013400243597178,0.017806513333304488
123,15: 0.5,euclidean,Busca Binaria 1,4,1.9433039668193293,0.4320039752752489,0.5098624979185873,0.40877110232651925,0.5284013395717363,0.020311960000041533
124,15: 0.5,euclidean,Busca Binaria 1,5,1.9433039668193293,0.4187570987478999,0.5098624979185873,0.40122373229922637,0.511687751749177,0.023251090000015514
125,15: 0.5,euclidean,Busca Binaria 1,6,1.9433039668193293,0.4379463384027984,0.5062106540989701,0.4211090119256567,0.5094409726885962,0.026010900000013257
126,15: 0.5,euclidean,Busca Binaria 2,2,2.1199679638029045,0.4389178004923564,0.4389178004923564,0.42149018816526257,0.42149018816526257,0.14263949999985925
127,15: 0.5,euclidean,Busca Binaria 2,20,1.8991757070747441,0.4522037766492083,0.4522037766492083,0.37286383069018003,0.37286383069018003,1.0906568999998854
128,15: 0.5,euclidean,Busca Binaria 2,3,2.1199679638029045,0.5062106540989701,0.5062106540989701,0.490616666129928,0.490616666129928,0.2481260000004113
129,15: 0.5,euclidean,Busca Binaria 2,4,1.9433039668193293,0.4863790844696792,0.4863790844696792,0.40101657539795793,0.40101657539795793,0.2952504999998382
130,15: 0.5,euclidean,Busca Binaria 2,5,1.7666399698357538,0.49606273719396576,0.49606273719396576,0.4043229113489505,0.4043229113489505,0.46794610000006287
131,15: 0.5,euclidean,Busca Binaria 2,6,1.8108059690816476,0.46443894248107415,0.46443894248107415,0.48857984622954126,0.48857984622954126,0.4533496999997624
132,15: 0.5,manhattan,Busca Binaria 1,2,2.836995579846865,0.39264330190426866,0.5311859417639105,0.3712108762031733,0.49533358043215325,0.0006633633332967292
133,15: 0.5,manhattan,Busca Binaria 1,20,2.4454310857534174,0.43801614249426735,0.5345604908867089,0.4298010660610731,0.49719224607492873,0.004307993333304694
134,15: 0.5,manhattan,Busca Binaria 1,3,2.3641629832057207,0.41237076531952715,0.5146965019357544,0.3886566291624218,0.4978412004061952,0.000815129999985705
135,15: 0.5,manhattan,Busca Binaria 1,4,2.6005792815262927,0.4225539243211899,0.5230135525676449,0.4128106056429897,0.5115222167213318,0.001057136666668157
136,15: 0.5,manhattan,Busca Binaria 1,5,2.3641629832057207,0.4331237129981083,0.5309146976217124,0.4311574120884728,0.49533358043215325,0.0011946233333371007
137,15: 0.5,manhattan,Busca Binaria 1,6,2.4823711323660067,0.42526967139722655,0.5187121964686625,0.4167884236891696,0.5272468136649491,0.0012637733333273596
138,15: 0.5,manhattan,Busca Binaria 2,2,2.836995579846865,0.4468699684865815,0.4468699684865815,0.43384691622268584,0.43384691622268584,0.006370899999637913
139,15: 0.5,manhattan,Busca Binaria 2,20,2.2864012991450786,0.5045799205021521,0.5045799205021521,0.4624880366288572,0.4624880366288572,0.09490980000009586
140,15: 0.5,manhattan,Busca Binaria 2,3,2.836995579846865,0.40007651603118016,0.40007651603118016,0.3981546043296801,0.3981546043296801,0.012048800000229676
141,15: 0.5,manhattan,Busca Binaria 2,4,2.3641629832057207,0.42385303719297746,0.42385303719297746,0.44841008056064474,0.44841008056064474,0.009391099999902508
142,15: 0.5,manhattan,Busca Binaria 2,5,2.6005792815262927,0.41739387662170385,0.41739387662170385,0.5158897827641935,0.5158897827641935,0.013812900000175432
143,15: 0.5,manhattan,Busca Binaria 2,6,2.3641629832057207,0.47292099619862626,0.47292099619862626,0.38293143560968934,0.38293143560968934,0.022667899999760266
144,16: 0.5,euclidean,Busca Binaria 1,2,2.1904382962179785,0.3069208688051501,0.37267258291470756,0.25061026639806105,0.38128492566543193,0.012036793333375801
145,16: 0.5,euclidean,Busca Binaria 1,20,2.167086455657712,0.32309743885627823,0.3664422493746179,0.2901552496088689,0.38288744266968594,0.08675025999999282
146,16: 0.5,euclidean,Busca Binaria 1,3,2.1904382962179785,0.32047115521312486,0.3750653668526105,0.2692557897519576,0.3767885045034865,0.013595123333288939
147,16: 0.5,euclidean,Busca Binaria 1,4,2.1904382962179785,0.3168176715215609,0.3701969455992027,0.26726339692481044,0.3814539957905007,0.01889261333332494
148,16: 0.5,euclidean,Busca Binaria 1,5,2.007901771533147,0.3076758091195454,0.3698480170090907,0.2606171095218852,0.38947853570416086,0.0218564133333075
149,16: 0.5,euclidean,Busca Binaria 1,6,2.1904382962179785,0.33219751434051314,0.3676382243940383,0.29926591605872677,0.3738687967752714,0.02668232000005446
150,16: 0.5,euclidean,Busca Binaria 2,2,2.1904382962179785,0.3766461340168631,0.3766461340168631,0.3299020985279133,0.3299020985279133,0.1670030999998744
151,16: 0.5,euclidean,Busca Binaria 2,20,2.0358047699506985,0.36403975592790005,0.36403975592790005,0.33532559300920073,0.33532559300920073,1.1215040000001864
152,16: 0.5,euclidean,Busca Binaria 2,3,2.1904382962179785,0.3353547266186494,0.3353547266186494,0.34518085672184057,0.34518085672184057,0.27968250000003536
153,16: 0.5,euclidean,Busca Binaria 2,4,2.007901771533147,0.36683523576014354,0.36683523576014354,0.32683419231605676,0.32683419231605676,0.34760670000014215
154,16: 0.5,euclidean,Busca Binaria 2,5,2.007901771533147,0.35316152641827064,0.35316152641827064,0.258676364776962,0.258676364776962,0.4209114000000227
155,16: 0.5,euclidean,Busca Binaria 2,6,2.007901771533147,0.3684695585998545,0.3684695585998545,0.3386202728328209,0.3386202728328209,0.5952735000000757
156,16: 0.5,manhattan,Busca Binaria 1,2,3.0848321679775275,0.3055400103243768,0.3875110237861077,0.253888087594681,0.3862918109471979,0.0006298533333999027
157,16: 0.5,manhattan,Busca Binaria 1,20,2.5706934733146065,0.3172750856443906,0.36326897842929173,0.30613175636737405,0.38674423917895434,0.004435506666686706
158,16: 0.5,manhattan,Busca Binaria 1,3,3.0848321679775275,0.29332128773381044,0.3557276289330783,0.25325693616449807,0.3644543692935879,0.0007744299999709862
159,16: 0.5,manhattan,Busca Binaria 1,4,3.0848321679775275,0.3129835379828323,0.3680716361490895,0.2976129965380297,0.37575164532424926,0.000932356666665631
160,16: 0.5,manhattan,Busca Binaria 1,5,3.0848321679775275,0.31388700021407706,0.3897561418822766,0.26999979647755595,0.3833572555065299,0.0012492766666431028
161,16: 0.5,manhattan,Busca Binaria 1,6,2.827762820646067,0.31264490761390346,0.377508088297671,0.28393445202763234,0.3934833767300758,0.0014801533333108333
162,16: 0.5,manhattan,Busca Binaria 2,2,3.0848321679775275,0.3390526910843253,0.3390526910843253,0.32304157672227096,0.32304157672227096,0.005906100000174774
163,16: 0.5,manhattan,Busca Binaria 2,20,2.5044177822057145,0.34986033523915105,0.34986033523915105,0.32273776644807667,0.32273776644807667,0.09278610000001208
164,16: 0.5,manhattan,Busca Binaria 2,3,3.0848321679775275,0.2973802332305981,0.2973802332305981,0.20352707213375054,0.20352707213375054,0.006028900000274007
165,16: 0.5,manhattan,Busca Binaria 2,4,3.0848321679775275,0.3376458414874685,0.3376458414874685,0.3468110893701609,0.3468110893701609,0.011317200000121375
166,16: 0.5,manhattan,Busca Binaria 2,5,2.827762820646067,0.3324088452907855,0.3324088452907855,0.26968922485965385,0.26968922485965385,0.012059799999860843
167,16: 0.5,manhattan,Busca Binaria 2,6,2.5706934733146065,0.3697209940301885,0.3697209940301885,0.3429828508574571,0.3429828508574571,0.024221500000294327
168,17: 0.5,euclidean,Busca Binaria 1,2,2.4438908716525427,0.29942353343719524,0.366594837278625,0.19357536593472718,0.3760921328630457,0.012264826666705631
169,17: 0.5,euclidean,Busca Binaria 1,20,2.3929764784931145,0.29623080529736345,0.3676948063448589,0.20717447258382454,0.37240614866880256,0.09295226333338177
170,17: 0.5,euclidean,Busca Binaria 1,3,2.4438908716525427,0.30096623937074873,0.3636047795474432,0.2182184114521986,0.4224114932922565,0.017793336666636607
171,17: 0.5,euclidean,Busca Binaria 1,4,2.4438908716525427,0.2969371491701268,0.3622239438066199,0.21579254381252028,0.4238699712331312,0.022821443333350545
