label,distance_type,algorithm,silhouette_mean,silhouette_std,rand_index_mean,rand_index_std,exec_time_mean,exec_time_std
1: 0.1,euclidean,KMeans,0.6067714360095128,0.0,0.9320055230605283,0.0,0.11401286125183105,0.018695102721507196
1: 0.1,manhattan,Maiores Distancias,0.4967852877167686,0.07712003490032934,0.6980020286711822,0.15436157963211017,0.0009954373041788738,4.089288279401603e-05
1: 0.1,euclidean,Maiores Distancias,0.5372349156435944,0.06885295930984027,0.7584861266023121,0.13288152215362717,0.0016495227813720704,0.00024993287653068914
1: 0.1,manhattan,KMeans,0.5955309382154256,0.0,0.9320055230605283,0.0,0.032516884803771975,0.01683847845548326
2: 0.1,euclidean,KMeans,0.74114407598688,0.0,1.0,0.0,0.11560821533203125,0.0194733030887869
2: 0.1,euclidean,Maiores Distancias,0.7110840634013582,0.02986968072042804,0.9369333944473642,0.04986536739649556,0.0016430854797363282,0.00016542666207519421
2: 0.1,manhattan,KMeans,0.74693735568577,0.0,1.0,0.0,0.026496354738871256,0.007697684667229595
2: 0.1,manhattan,Maiores Distancias,0.676837370324666,0.07110033938343864,0.8765519038236688,0.09128379003537607,0.0009698073069254557,3.688957298132593e-05
3: 0.1,euclidean,KMeans,0.6465692472582271,0.0,0.9605467603426407,0.0,0.11532154877980551,0.019383595028767422
3: 0.1,manhattan,KMeans,0.6620843880290401,0.0,0.9605467603426407,0.0,0.02872482140858968,0.006873717580434781
3: 0.1,manhattan,Maiores Distancias,0.5778646844620254,0.07115404046476946,0.7741028086949303,0.14768342493584086,0.0009704748789469401,4.520435396576973e-05
3: 0.1,euclidean,Maiores Distancias,0.5592073649127405,0.07899421250663924,0.7506425275391633,0.15325844786054757,0.0021486679712931314,0.0020522599589431222
4: 0.1,euclidean,KMeans,0.5249753863159361,0.0,0.7432828282828283,0.0,0.11545209089914958,0.01352834622154234
4: 0.1,euclidean,Maiores Distancias,0.5256033817765081,0.05032044282230984,0.5701253941551663,0.1121653395569048,0.00168761412302653,0.0004829691479629225
4: 0.1,manhattan,KMeans,0.5329971719310457,0.0,0.7432828282828283,0.0,0.030428202946980794,0.005825685271582644
4: 0.1,manhattan,Maiores Distancias,0.4786847292220493,0.06617408773976266,0.5543319494497773,0.07150647116525101,0.001220242182413737,0.0003778859393321585
5: 0.1,euclidean,KMeans,0.4010837447056759,0.0,0.4646290051086421,0.0,0.11421452363332113,0.016373254395009397
5: 0.1,euclidean,Maiores Distancias,0.2909664104635997,0.08529616104834799,0.187364749728647,0.12818022044365343,0.0015254259109497071,0.0002284001530346148
5: 0.1,manhattan,Maiores Distancias,0.27804762146148543,0.06937393692769586,0.18794151976100423,0.0952079481360408,0.0009837150573730469,8.110048873226074e-05
5: 0.1,manhattan,KMeans,0.40879182358052485,0.0,0.4646290051086421,0.0,0.03371787071228027,0.011675044557708457
6: 0.1,euclidean,KMeans,0.5041846517777938,0.0,0.7504184965634046,0.0,0.11844632625579835,0.019154794709303313
6: 0.1,euclidean,Maiores Distancias,0.44855078289255396,0.073108159021816,0.5324829979899113,0.1659004189431644,0.0024639765421549478,0.0029765818920103014
6: 0.1,manhattan,KMeans,0.5215717554971494,0.0,0.7504184965634046,0.0,0.02917163372039795,0.005132110535227364
6: 0.1,manhattan,Maiores Distancias,0.398902934595389,0.060451005077050465,0.45929116423351624,0.08929034698629745,0.001699360211690267,0.0011909712076802717
7: 0.1,manhattan,KMeans,0.7452104912486046,0.0,1.0,0.0,0.027505874633789062,0.004707022337916126
7: 0.1,manhattan,Maiores Distancias,0.6952158388755543,0.051366133597224854,0.8964834214661744,0.10170304061428251,0.0009798844655354818,4.533871296305148e-05
7: 0.1,euclidean,KMeans,0.727119899449791,0.0,1.0,0.0,0.10992097854614258,0.01755321293831509
7: 0.1,euclidean,Maiores Distancias,0.7035712137061438,0.036999256090128246,0.9357327057267792,0.09810055564434172,0.0016141096750895182,0.0001529994674130602
8: 0.1,euclidean,KMeans,0.7667293077412645,0.0,1.0,0.0,0.11252790292104085,0.018768012993421873
