,label,distance_type,algorithm,silhouette_mean,silhouette_std,rand_index_mean,rand_index_std,exec_time_mean,exec_time_std
0,hepatitis_c_virus_hcv_for_egyptian_patients,euclidean,KMeans,0.2970213740407617,0.0,0.04399944938493894,0.0,0.004940479409994037,0.0039390633944938396
1,hepatitis_c_virus_hcv_for_egyptian_patients,euclidean,Maiores Distancias,0.14141968961943194,0.040386981439991906,0.036009181949990804,0.00874649949010633,0.0437968187713643,0.008307494970969346
2,hepatitis_c_virus_hcv_for_egyptian_patients,manhattan,KMeans,0.37047491041790396,0.0,0.04399944938493894,0.0,0.009097344847188314,0.0034194894943873408
3,hepatitis_c_virus_hcv_for_egyptian_patients,manhattan,Maiores Distancias,0.43847119790361117,0.04889706949447146,0.049873369788833086,0.006094990648977419,0.04889634490476693,0.017401376440439417
4,ozone_level_detection,euclidean,KMeans,0.49430497446844796,0.0,0.034146116069947,0.0,0.0034694419449096969,0.00699401188446197
5,ozone_level_detection,euclidean,Maiores Distancias,0.709991946459041,0.1061751893714479,0.046690607439345867,0.019874544446034134,0.0006509304046630859,0.0048718937550997786
6,ozone_level_detection,manhattan,KMeans,0.4973414541719179,0.0,0.034146116065947,0.0,0.0047871033350676645,0.00679944414734199
7,ozone_level_detection,manhattan,Maiores Distancias,0.6701364349609493,0.1753941919174885,0.043144098344691874,0.046434449634114593,0.0016600131988545391,0.004804908044451147
8,statlog_image_segmentation,euclidean,KMeans,0.5740546968543663,0.0,0.8498138191976947,0.0,0.0036544467931111653,0.006633480157190195
9,statlog_image_segmentation,euclidean,Maiores Distancias,0.4976448748065681,0.08694877335044415,0.30428190486503747,0.44574705931184405,0.0013177951176961464,0.004940159910359434
10,statlog_image_segmentation,manhattan,KMeans,0.6368594669441484,0.0,0.8498138191976947,0.0,0.002644394874574754,0.00651345565688834
11,statlog_image_segmentation,manhattan,Maiores Distancias,0.579443549553559,0.040064535465754673,0.3683068147443898,0.13548849174177645,0.0006948741800130408,0.005934445609030614
12,website_phishing,euclidean,KMeans,0.411904543480483,0.0,0.3456148110116881,0.0,0.0017849459436653646,0.004881744470056399
13,website_phishing,euclidean,Maiores Distancias,0.9081564441083464,0.0,0.0003340449777945408,0.0,0.00044387836456498848,0.00045489076404079603
14,website_phishing,manhattan,KMeans,0.4944764086474708,0.0,0.3456148110116881,0.0,0.00491134516398114,0.0064198645993813365
15,website_phishing,manhattan,Maiores Distancias,0.8658553386638543,0.0,0.0003340449777945408,0.0,0.0011439085006713866,0.003994856401194948
16,myocardial_infarction_complications,euclidean,KMeans,0.2921837684039008,0.0,0.12150423692920867,0.0,0.0026109059651692706,0.004918564673221289
17,myocardial_infarction_complications,euclidean,Maiores Distancias,0.28276052620089287,0.04285207254192331,0.08903373889294972,0.07943319839619598,0.0020217021306355794,0.005053820038211163
18,myocardial_infarction_complications,manhattan,KMeans,0.33563316049701175,0.0,0.12150423692920867,0.0,0.0021884600321451825,0.00462491111877261
19,myocardial_infarction_complications,manhattan,Maiores Distancias,0.277561306204974,0.09157700925301016,0.07141198981069419,0.07457722830512098,0.0015460570653279622,0.004010528336087634
20,statlog_vehicle_silhouettes,euclidean,KMeans,0.4411362957481304,0.0,0.28618101650067673,0.0,0.0030184507369995115,0.005122138962710957
21,statlog_vehicle_silhouettes,euclidean,Maiores Distancias,0.5412849523084046,0.049234326492116356,0.016561421866505867,0.07908642998613759,4.9050649007161455e-05,0.00019903371924718345
22,statlog_vehicle_silhouettes,manhattan,KMeans,0.4863238577328187,0.0,0.28618101650067673,0.0,0.0025353272755940753,0.0051406996602626175
23,statlog_vehicle_silhouettes,manhattan,Maiores Distancias,0.522515510836488,0.0494359545705642,0.05992638434434864,0.14458611180180275,0.0011505126953125,0.0033853306360454457
24,raisin,euclidean,KMeans,0.4099613567496324,0.0,0.6815391024991305,0.0,0.005345833011613025,0.003532983036610926
25,raisin,euclidean,Maiores Distancias,0.28858360893316623,0.03203890383429614,0.06253336110994416,0.06145803923459952,0.005125808315820313,0.007193569142910094
26,raisin,manhattan,KMeans,0.4572386293969233,0.0,0.6815391024991305,0.0,0.003837450345357259,0.006427067277797304
27,raisin,manhattan,Maiores Distancias,0.32146406669940825,0.04867146018539868,0.12402681669310013,0.1340412984817081,0.00516963005065918,0.007647355920050933
28,absenteeism_at_work,euclidean,KMeans,0.2992462986178058,0.0,0.0745718889710186,0.0,0.00266877015431722,0.006072968722967414
29,absenteeism_at_work,euclidean,Maiores Distancias,0.31418067174217257,0.06471631452964902,0.03338421681187384,0.0190998988961295,0.005026920636494955,0.01019184066865339
30,absenteeism_at_work,manhattan,KMeans,0.3268911057848367,0.0,0.0745718889710186,0.0,0.003677082066767578,0.006649255660695894
31,absenteeism_at_work,manhattan,Maiores Distancias,0.3642507687640697,0.09568067603036546,0.07623945794850469,0.03366264867397655,0.0043016592661539715,0.006788971144760084
